run_id,model,maturity,winsorized,frequency,gap,dataset,revised_macro_static_X,expanding_window_realtime,eval_period,eval_end_nominal,eval_end_effective,n_oos,r2_oos,rsz_pvalue
20260602_151716,L&N (2009),24,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.2110665479946534,0.016312541569028838
20260602_151716,L&N (2009),24,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2068.3117701299884,0.06735021890661519
20260602_151716,L&N (2009),36,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.13572802491492197,0.01789832830606175
20260602_151716,L&N (2009),36,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2012.1186863116502,0.07861013140681217
20260602_151716,L&N (2009),48,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.10450454656065089,0.015269420697498814
20260602_151716,L&N (2009),48,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2095.437596154321,0.09452755359991694
20260602_151716,L&N (2009),60,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07697149566871286,0.015256395800002265
20260602_151716,L&N (2009),60,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2094.615795090528,0.11154580274728931
20260602_151716,L&N (2009),84,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.0762925876181546,0.015619596717484807
20260602_151716,L&N (2009),84,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-1928.333766411454,0.12801319454284
20260602_151716,L&N (2009),120,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.06667638604669324,0.015375046246913326
20260602_151716,L&N (2009),120,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-1622.2068186277004,0.13797967226139196
20260602_151716,L&N (2009) (winsor),24,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.21106247600362438,0.01631193254971508
20260602_151716,L&N (2009) (winsor),24,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2068.3117672169224,0.0673498583020331
20260602_151716,L&N (2009) (winsor),36,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.13572802491492197,0.01789832830606175
20260602_151716,L&N (2009) (winsor),36,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2012.1186863116502,0.07861013140681217
20260602_151716,L&N (2009) (winsor),48,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.10450454656065089,0.015269420697498814
20260602_151716,L&N (2009) (winsor),48,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2095.437596154321,0.09452755359991694
20260602_151716,L&N (2009) (winsor),60,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07697149566871286,0.015256395800002265
20260602_151716,L&N (2009) (winsor),60,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-1941.690762418251,0.11006816084597448
20260602_151716,L&N (2009) (winsor),84,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07632458433114064,0.01565090420791515
20260602_151716,L&N (2009) (winsor),84,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-1040.3676313600274,0.11908666476338703
20260602_151716,L&N (2009) (winsor),120,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.0654867450828307,0.015694535809236188
20260602_151716,L&N (2009) (winsor),120,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-550.4103300536589,0.12677578854156324
20260602_162549,L&N (2009),24,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.21105467342575568,0.01630786986788213
20260602_162549,L&N (2009),24,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2068.5033164438387,0.0673551035086527
20260602_162549,L&N (2009),36,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.13569667134644026,0.017884543311599055
20260602_162549,L&N (2009),36,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2010.993149994346,0.07859387181916688
20260602_162549,L&N (2009),48,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.10446925822557862,0.015267433939196051
20260602_162549,L&N (2009),48,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2095.6434107794544,0.09453382356849849
20260602_162549,L&N (2009),60,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07700342297283536,0.015263966554002084
20260602_162549,L&N (2009),60,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2096.140892318721,0.11155538828934286
20260602_162549,L&N (2009),84,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07634082322597235,0.01563091397657601
20260602_162549,L&N (2009),84,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-1929.3153200835638,0.1280206229807399
20260602_162549,L&N (2009),120,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.06670364270777118,0.015380641871712175
20260602_162549,L&N (2009),120,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-1623.138218155294,0.13798222219004275
20260602_162549,L&N (2009) (winsor),24,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.20715773426276285,0.01815220520354055
20260602_162549,L&N (2009) (winsor),24,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.18946630826389765,0.004321990480971705
20260602_162549,L&N (2009) (winsor),36,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.13212224012702078,0.019380186435866698
20260602_162549,L&N (2009) (winsor),36,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.14919347592670418,0.005911557132488032
20260602_162549,L&N (2009) (winsor),48,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.10301569865271776,0.01667726350093135
20260602_162549,L&N (2009) (winsor),48,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.14534878035443,0.005982272579995396
20260602_162549,L&N (2009) (winsor),60,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07584928456956574,0.016573180576013757
20260602_162549,L&N (2009) (winsor),60,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.13588269714208234,0.006902508582558364
20260602_162549,L&N (2009) (winsor),84,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07514154696377573,0.016909565290380346
20260602_162549,L&N (2009) (winsor),84,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.13841251438902646,0.007602169926992586
20260602_162549,L&N (2009) (winsor),120,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.06420946193678856,0.0161287630937903
20260602_162549,L&N (2009) (winsor),120,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.12263714582109309,0.008090253668201153
20260602_172740,L&N (2009),24,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.2110461669879451,0.01631091999963219
20260602_172740,L&N (2009),24,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2069.791668082348,0.06737711775280697
20260602_172740,L&N (2009),36,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.1356687638353915,0.01788265516657006
20260602_172740,L&N (2009),36,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2011.7590626132283,0.07860089782055824
20260602_172740,L&N (2009),48,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.10450081409349687,0.015272250732535908
20260602_172740,L&N (2009),48,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2094.832476217938,0.09451887512976731
20260602_172740,L&N (2009),60,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07694653299295973,0.01524734592050958
20260602_172740,L&N (2009),60,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2097.3819010104744,0.1115529806749197
20260602_172740,L&N (2009),84,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07628889449142662,0.01562509186142802
20260602_172740,L&N (2009),84,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-1929.8458725092432,0.12802382979254245
20260602_172740,L&N (2009),120,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.06667710252953962,0.015372963964024766
20260602_172740,L&N (2009),120,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-1621.9986507978826,0.13798134160047026
20260602_172740,L&N (2009) (winsor),24,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.2071492278249525,0.018155604828562932
20260602_172740,L&N (2009) (winsor),24,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.1894400161961034,0.004322473315270803
20260602_172740,L&N (2009) (winsor),36,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.13209433261597225,0.019378136492347875
20260602_172740,L&N (2009) (winsor),36,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.14924150047772744,0.005911054433359042
20260602_172740,L&N (2009) (winsor),48,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.10304725452063601,0.016682526207198012
20260602_172740,L&N (2009) (winsor),48,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.1453865383966053,0.005977455197267445
20260602_172740,L&N (2009) (winsor),60,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07579239458969034,0.016555134618515988
20260602_172740,L&N (2009) (winsor),60,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.13584864466741653,0.006893260736648643
20260602_172740,L&N (2009) (winsor),84,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07508961822922999,0.01690327613394471
20260602_172740,L&N (2009) (winsor),84,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.1382016431867712,0.007588125900814036
20260602_172740,L&N (2009) (winsor),120,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.06418292175855678,0.0161206788818663
20260602_172740,L&N (2009) (winsor),120,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.12228572343128707,0.00806515820628162
20260602_193210,L&N (2009),24,False,annual,11,lw,False,True,2018,2018-12-31,2017-12-31,336,-0.21404736127939006,0.017446311178469953
20260602_193210,L&N (2009),24,False,annual,11,lw,False,True,2025,2025-06-30,2024-06-30,414,-2202.456176960839,0.07428440245989254
20260602_193210,L&N (2009),36,False,annual,11,lw,False,True,2018,2018-12-31,2017-12-31,336,-0.14090237077135548,0.01893284520984373
20260602_193210,L&N (2009),36,False,annual,11,lw,False,True,2025,2025-06-30,2024-06-30,414,-2107.4353154425844,0.08293550867700261
20260602_193210,L&N (2009),48,False,annual,11,lw,False,True,2018,2018-12-31,2017-12-31,336,-0.1090720459326675,0.016540587509423887
20260602_193210,L&N (2009),48,False,annual,11,lw,False,True,2025,2025-06-30,2024-06-30,414,-2246.6120497328848,0.09822765673178524
20260602_193210,L&N (2009),60,False,annual,11,lw,False,True,2018,2018-12-31,2017-12-31,336,-0.08050451211385257,0.016664915828098703
20260602_193210,L&N (2009),60,False,annual,11,lw,False,True,2025,2025-06-30,2024-06-30,414,-2209.037204444494,0.11477153237458515
20260602_193210,L&N (2009),84,False,annual,11,lw,False,True,2018,2018-12-31,2017-12-31,336,-0.07955048697128841,0.01723328194944085
20260602_193210,L&N (2009),84,False,annual,11,lw,False,True,2025,2025-06-30,2024-06-30,414,-2019.1483766538106,0.129570053718437
20260602_193210,L&N (2009),120,False,annual,11,lw,False,True,2018,2018-12-31,2017-12-31,336,-0.07401762134955425,0.0136700531426579
20260602_193210,L&N (2009),120,False,annual,11,lw,False,True,2025,2025-06-30,2024-06-30,414,-1906.0362176470483,0.13916124408156327
20260602_193210,L&N (2009) (winsor),24,True,annual,11,lw,False,True,2018,2018-12-31,2017-12-31,336,-0.20602657562119098,0.01991914874880618
20260602_193210,L&N (2009) (winsor),24,True,annual,11,lw,False,True,2025,2025-06-30,2024-06-30,414,-0.18375896864264374,0.004269366157988008
20260602_193210,L&N (2009) (winsor),36,True,annual,11,lw,False,True,2018,2018-12-31,2017-12-31,336,-0.13541327855066587,0.021338401899446247
20260602_193210,L&N (2009) (winsor),36,True,annual,11,lw,False,True,2025,2025-06-30,2024-06-30,414,-0.14719164567075782,0.0058117467360812025
20260602_193210,L&N (2009) (winsor),48,True,annual,11,lw,False,True,2018,2018-12-31,2017-12-31,336,-0.1044376544979071,0.018523029689097137
20260602_193210,L&N (2009) (winsor),48,True,annual,11,lw,False,True,2025,2025-06-30,2024-06-30,414,-0.14484599825230715,0.006076040419274009
20260602_193210,L&N (2009) (winsor),60,True,annual,11,lw,False,True,2018,2018-12-31,2017-12-31,336,-0.07632874759916586,0.018436135499638073
20260602_193210,L&N (2009) (winsor),60,True,annual,11,lw,False,True,2025,2025-06-30,2024-06-30,414,-0.13279939186309342,0.007041004834621001
20260602_193210,L&N (2009) (winsor),84,True,annual,11,lw,False,True,2018,2018-12-31,2017-12-31,336,-0.07543775275126396,0.018738359616626843
20260602_193210,L&N (2009) (winsor),84,True,annual,11,lw,False,True,2025,2025-06-30,2024-06-30,414,-0.1374451318251484,0.0076926569875090944
20260602_193210,L&N (2009) (winsor),120,True,annual,11,lw,False,True,2018,2018-12-31,2017-12-31,336,-0.07123329512027898,0.014842437035957778
20260602_193210,L&N (2009) (winsor),120,True,annual,11,lw,False,True,2025,2025-06-30,2024-06-30,414,-0.13612502505932733,0.007131418841607506
20260603_093039,ElasticNet 10 forwards + macro (direct),24,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.24004358896567735,0.1651933723829042
20260603_093039,ElasticNet 10 forwards + macro (direct),24,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.24542329303268406,0.16515045940303463
20260603_093039,ElasticNet 10 forwards + macro (direct),36,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.20111137257233613,0.20097315646231073
20260603_093039,ElasticNet 10 forwards + macro (direct),36,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.2284727398653532,0.2778055880255774
20260603_093039,ElasticNet 10 forwards + macro (direct),48,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.20071385272815134,0.17464417231451967
20260603_093039,ElasticNet 10 forwards + macro (direct),48,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.20011248787648173,0.22086020545804153
20260603_093039,ElasticNet 10 forwards + macro (direct),60,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.16981402432893788,0.17263226325991032
20260603_093039,ElasticNet 10 forwards + macro (direct),60,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.12689483658906053,0.15254842919947853
20260603_093039,ElasticNet 10 forwards + macro (direct),84,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.08598690647363783,0.03495954770023557
20260603_093039,ElasticNet 10 forwards + macro (direct),84,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.06295708046430448,0.029189412338839427
20260603_093039,ElasticNet 10 forwards + macro (direct),120,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.01447585296475773,0.018608076326905754
20260603_093039,ElasticNet 10 forwards + macro (direct),120,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.029693583767755882,0.03126829053474467
20260603_093039,ElasticNet fwd-only (10),24,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.1350840789231884,0.9658850312104096
20260603_093039,ElasticNet fwd-only (10),24,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.08499994969277758,0.7727442776273179
20260603_093039,ElasticNet fwd-only (10),36,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.159280609553889,0.7448666381516421
